LOCATION,TIME,Value
Austria,1960,8.8
Austria,1961,9.4
Austria,1962,9.4
Austria,1963,10.1
Austria,1964,10.7
Austria,1965,11.2
Austria,1966,13.0
Austria,1967,12.7
Austria,1968,13.4
Austria,1969,13.2
Austria,1970,13.3
Austria,1971,13.9
Austria,1972,14.4
Austria,1973,14.6
Austria,1974,14.6
Austria,1975,14.1
Austria,1976,14.2
Austria,1977,14.3
Austria,1978,13.5
Austria,1979,13.6
Austria,1980,13.6
Austria,1981,13.4
Austria,1982,13.5
Austria,1983,14.0
Austria,1984,13.8
Austria,1985,13.3
Austria,1986,13.6
Austria,1987,13.6
Austria,1988,13.7
Austria,1989,13.9
Austria,1990,14.0
Austria,1991,14.0
Austria,1992,13.6
Austria,1993,13.5
Austria,1994,12.5
Austria,1995,13.4
Austria,1996,13.5
Austria,1997,12.9
Austria,1998,12.9
Austria,1999,12.8
Austria,2000,13.2
Austria,2001,12.3
Austria,2002,12.1
Austria,2003,12.3
Austria,2004,12.1
Austria,2005,12.2
Austria,2006,12.5
Austria,2007,12.5
Austria,2008,12.0
Austria,2009,11.8
Austria,2010,12.1
Austria,2011,11.9
Austria,2012,12.1
Austria,2013,11.9
Austria,2014,12.2
Austria,2015,11.2
Austria,2016,11.4
Austria,2017,11.3
Austria,2018,11.3
Austria,2019,11.6
Austria,2020,11.3
Austria,2021,11.1
Belgium,1963,9.9
Belgium,1964,10.5
Belgium,1965,10.8
Belgium,1966,10.3
Belgium,1967,10.7
Belgium,1968,11.2
Belgium,1969,11.5
Belgium,1970,12.4
Belgium,1971,12.6
Belgium,1972,13.0
Belgium,1973,13.8
Belgium,1974,13.4
Belgium,1975,13.5
Belgium,1976,13.6
Belgium,1977,13.5
Belgium,1978,13.4
Belgium,1979,13.6
Belgium,1980,14.0
Belgium,1981,13.3
Belgium,1982,13.7
Belgium,1983,13.6
Belgium,1984,13.3
Belgium,1985,13.1
Belgium,1986,12.7
Belgium,1987,13.2
Belgium,1988,12.5
Belgium,1989,11.6
Belgium,1990,12.2
Belgium,1991,11.4
Belgium,1992,11.7
Belgium,1993,11.7
Belgium,1994,11.1
Belgium,1995,11.0
Belgium,1996,10.9
Belgium,1997,10.9
Belgium,1998,9.9
Belgium,1999,10.1
Belgium,2000,11.2
Belgium,2001,11.0
Belgium,2002,11.3
Belgium,2003,11.3
Belgium,2004,12.1
Belgium,2005,12.2
Belgium,2006,10.9
Belgium,2007,10.3
Belgium,2008,10.5
Belgium,2009,10.1
Belgium,2010,10.3
Belgium,2011,10.1
Belgium,2012,10.1
Belgium,2013,10.3
Belgium,2014,10.6
Belgium,2015,10.4
Belgium,2016,9.4
Belgium,2017,9.3
Belgium,2018,9.2
Belgium,2019,9.2
Czechia,1980,11.7
Czechia,1981,12.3
Czechia,1982,11.9
Czechia,1983,12.2
Czechia,1984,12.0
Czechia,1985,11.7
Czechia,1986,11.3
Czechia,1987,10.4
Czechia,1988,10.5
Czechia,1989,10.5
Czechia,1990,11.3
Czechia,1991,11.5
Czechia,1992,11.8
Czechia,1993,11.5
Czechia,1994,11.6
Czechia,1995,11.5
Czechia,1996,11.6
Czechia,1997,11.9
Czechia,1998,11.8
Czechia,1999,11.9
Czechia,2000,11.8
Czechia,2001,11.8
Czechia,2002,11.9
Czechia,2003,12.1
Czechia,2004,11.5
Czechia,2005,12.0
Czechia,2006,11.9
Czechia,2007,12.1
Czechia,2008,12.1
Czechia,2009,12.1
Czechia,2010,11.4
Czechia,2011,11.5
Czechia,2012,11.6
Czechia,2013,11.5
Czechia,2014,11.9
Czechia,2015,11.5
Czechia,2016,11.7
Czechia,2017,11.6
Czechia,2018,11.8
Czechia,2019,11.9
Czechia,2020,11.6
Czechia,2021,11.6
Denmark,1960,6.0
Denmark,1965,7.4
Denmark,1966,7.9
Denmark,1967,8.0
