"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ALCOHOL","TOT","LT_CAP15","A","2020",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2021",11.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2020",8.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2021",8.3,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2020",11.6,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2021",11.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2020",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2021",10.4,"D"
"FIN","ALCOHOL","TOT","LT_CAP15","A","2020",8.2,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2021",8.1,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2021",10.5,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2021",10.4,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2020",7.4,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2020",10.1,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2021",9.5,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2020",6.7,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2021",6.6,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2021",7.7,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2020",4.2,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2021",5.1,"D"
"NLD","ALCOHOL","TOT","LT_CAP15","A","2020",7.8,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2021",8.1,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2020",8.7,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2021",8.8,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2021",7.4,
"POL","ALCOHOL","TOT","LT_CAP15","A","2020",10.9,
"POL","ALCOHOL","TOT","LT_CAP15","A","2021",11,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2020",10.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2021",9.6,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2020",8.7,"E"
"ESP","ALCOHOL","TOT","LT_CAP15","A","2021",10.5,"E"
"SWE","ALCOHOL","TOT","LT_CAP15","A","2020",7.5,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2021",7.6,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2020",8.5,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2021",8.5,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2020",1.2,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2021",1.4,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2020",9.7,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2021",10,
"USA","ALCOHOL","TOT","LT_CAP15","A","2020",9.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","2021",9.5,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2020",9.8,"E"
"EST","ALCOHOL","TOT","LT_CAP15","A","2020",10.8,"D"
"EST","ALCOHOL","TOT","LT_CAP15","A","2021",11.1,"D"
"SVN","ALCOHOL","TOT","LT_CAP15","A","2020",9.8,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2021",10.6,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2020",12.1,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2021",12.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2020",11.4,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2021",12.1,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2020",3.2,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2021",3.1,"P"
